date,adj_close
2018-04-30,25.8411
2018-03-29,23.6005
2018-02-28,23.2022
2018-01-31,26.0217
2017-12-29,25.1213
2017-11-30,23.8635
2017-10-31,23.4526
2017-09-29,23.6494
2017-08-31,21.4644
2017-07-31,22.7086
2017-06-30,22.1291
2017-05-31,22.1563
2017-04-28,22.9689
2017-03-31,23.6663
2017-02-28,24.0232
2017-01-31,24.5348
2016-12-30,25.3492
2016-11-30,24.9186
2016-10-31,22.9735
2016-09-30,23.6397
2016-08-31,22.7979
2016-07-29,22.4219
2016-06-30,22.7081
2016-05-31,22.1079
2016-04-29,22.3162
2016-03-31,20.4615
2016-02-29,18.5736
2016-01-29,19.1087
2015-12-31,19.8013
2015-11-30,22.1250
2015-10-30,22.1282
2015-09-30,19.9099
2015-08-31,21.4453
2015-07-31,22.3976
2015-06-30,24.2635
2015-05-29,25.1378
2015-04-30,26.5135
2015-03-31,24.8780
2015-02-27,25.1713
2015-01-30,24.0659
2014-12-31,25.2159
2014-11-28,25.2738
2014-10-31,27.6803
2014-09-30,28.6935
2014-08-29,31.1043
2014-07-31,30.4396
2014-06-30,31.5327
2014-05-30,29.8865
2014-04-30,29.3942
2014-03-31,27.9267
2014-02-28,27.3504
2014-01-31,26.0180
2013-12-31,27.6188
2013-11-29,26.8481
2013-10-31,26.8326
2013-09-30,25.7514
2013-08-30,25.2177
2013-07-31,25.4805
2013-06-28,24.2067
2013-05-31,24.7683
2013-04-30,24.0821
2013-03-28,24.4021
2013-02-28,23.7969
2013-01-31,23.6928
2012-12-31,21.8764
2012-11-30,21.6547
2012-10-31,21.9228
2012-09-28,22.3784
2012-08-31,21.7009
2012-07-31,21.1305
2012-06-29,20.1355
2012-05-31,19.2131
2012-04-30,21.5109
2012-03-30,21.6649
2012-02-29,22.5243
2012-01-31,21.2640
2011-12-30,20.7947
2011-11-30,21.2291
2011-10-31,20.8816
2011-09-30,17.5266
2011-08-31,20.4804
2011-07-29,22.8107
2011-06-30,22.4824
2011-05-31,22.9230
2011-04-29,23.9245
2011-03-31,23.7078
2011-02-28,23.2694
2011-01-31,21.6725
2010-12-31,20.2207
2010-11-30,18.4972
2010-10-29,17.4736
2010-09-30,16.5356
2010-08-31,15.0326
2010-07-30,15.8077
2010-06-30,14.5863
2010-05-28,15.5056
2010-04-30,17.5107
2010-03-31,16.8121
2010-02-26,16.3508
2010-01-29,15.8731
2009-12-31,16.6042
2009-11-30,16.4596
2009-10-30,16.0048
2009-09-30,15.6195
2009-08-31,14.7570
2009-07-31,14.5984
2009-06-30,13.8572
2009-05-29,14.8277
2009-04-30,13.1349
2009-03-31,12.1824
2009-02-27,11.7392
2009-01-30,13.3904
2008-12-31,13.6330
2008-11-28,14.2752
2008-10-31,14.5506
2008-09-30,18.0314
2008-08-29,21.0876
2008-07-31,21.0593
2008-06-30,25.0448
2008-05-30,24.2781
2008-04-30,23.0783
2008-03-31,20.9074
2008-02-29,21.4079
2008-01-31,19.5922
2007-12-31,22.3368
2007-11-30,20.6299
2007-10-31,21.5369
2007-09-28,21.0034
2007-08-31,19.5567
2007-07-31,19.3243
2007-06-29,19.3215
2007-05-31,19.0736
2007-04-30,17.6969
2007-03-30,16.8340
2007-02-28,15.8376
2007-01-31,16.1688
2006-12-29,16.3191
2006-11-30,16.7918
2006-10-31,15.4653
2006-09-29,14.8326
2006-08-31,15.3941
2006-07-31,16.2182
2006-06-30,15.6928
2006-05-31,15.3040
2006-04-28,15.7421
2006-03-31,14.9872
2006-02-28,14.3764
2006-01-31,15.8377
2005-12-30,13.8188
2005-11-30,13.5737
2005-10-31,13.3738
2005-09-30,14.7024
2005-08-31,13.8333
2005-07-29,13.0028
2005-06-30,12.1424
2005-05-31,11.3509
2005-04-29,11.0431
2005-03-31,11.6750
2005-02-28,11.9026
2005-01-31,10.1925
2004-12-31,9.8586
2004-11-30,10.1448
2004-10-29,9.5038
2004-09-30,9.4470
2004-08-31,8.6073
2004-07-30,8.7420
2004-06-30,8.4807
2004-05-28,7.9830
2004-04-30,8.0072
2004-03-31,7.8730
2004-02-27,7.9219
2004-01-30,7.5265
2003-12-31,7.3608
2003-11-28,6.5086
2003-10-31,6.4581
2003-09-30,6.3969
2003-08-29,6.5320
2003-07-31,6.1403
2003-06-30,6.3652
2003-05-30,6.4479
2003-04-30,5.8289
2003-03-31,5.8790
2003-02-28,5.8713
2003-01-31,5.7037
2002-12-31,5.8504
2002-11-29,5.8497
2002-10-31,5.6177
2002-09-30,5.5161
2002-08-30,5.9400
2002-07-31,5.8519
2002-06-28,6.7930
2002-05-31,7.0511
2002-04-30,7.1774
2002-03-28,7.4454
2002-02-28,6.8401
2002-01-31,6.6141
2001-12-31,6.8581
2001-11-30,6.4874
2001-10-31,6.8712
2001-09-28,6.6051
2001-08-31,7.3083
2001-07-31,7.6314
2001-06-29,7.7204
2001-05-31,8.4948
2001-04-30,8.5758
2001-03-30,7.7732
2001-02-28,8.0119
2001-01-31,8.1103
2000-12-29,8.3779
2000-11-30,7.6007
2000-10-31,8.0235
2000-09-29,8.2475
2000-08-31,8.1152
2000-07-31,7.3157
2000-06-30,7.6039
2000-05-31,8.0494
2000-04-28,7.2038
2000-03-31,7.3110
2000-02-29,6.5027
2000-01-31,6.7886
1999-12-31,6.7339
