date,adj_close
2012-03-30,109.7816
2012-02-29,106.3613
2012-01-31,101.9367
2011-12-30,97.4190
2011-11-30,96.4124
2011-10-31,96.8058
2011-09-30,87.2795
2011-08-31,93.7934
2011-07-29,99.2497
2011-06-30,101.2757
2011-05-31,103.0153
2011-04-29,104.1837
2011-03-31,101.2513
2011-02-28,101.2405
2011-01-31,97.8417
2010-12-31,95.6139
2010-11-30,89.6231
2010-10-29,89.6231
2010-09-30,86.3253
2010-08-31,79.2300
2010-07-30,82.9616
2010-06-30,77.6576
2010-05-28,81.8951
2010-04-30,88.9637
2010-03-31,87.6084
2010-02-26,82.5789
2010-01-29,80.0808
2009-12-31,83.1009
2009-11-30,81.5456
2009-10-30,76.8134
2009-09-30,78.3191
2009-08-31,75.6372
2009-07-31,72.9427
2009-06-30,67.8786
2009-05-29,67.9244
2009-04-30,64.1732
2009-03-31,58.3740
2009-02-27,53.8762
2009-01-30,60.3620
2008-12-31,65.7620
2008-11-28,65.1215
2008-10-31,69.9935
2008-09-30,83.8433
2008-08-29,92.5804
2008-07-31,91.1715
2008-06-30,91.9982
2008-05-30,100.3798
2008-04-30,98.8850
2008-03-31,94.3863
2008-02-29,95.2465
2008-01-31,97.7733
2007-12-31,104.0651
2007-11-30,105.2579
2007-10-31,109.4991
2007-09-28,108.0335
2007-08-31,104.0084
2007-07-31,102.6906
2007-06-29,106.0098
2007-05-31,107.5857
2007-04-30,104.0561
2007-03-30,99.6423
2007-02-28,98.4995
2007-01-31,100.4705
2006-12-29,98.9818
2006-11-30,97.6760
2006-10-31,95.7716
2006-09-29,92.8454
2006-08-31,90.4050
2006-07-31,88.4743
2006-06-30,88.0799
2006-05-31,87.8476
2006-04-28,90.5758
2006-03-31,89.4459
2006-02-28,87.9937
2006-01-31,87.4927
2005-12-30,85.4409
2005-11-30,85.6035
2005-10-31,81.9994
2005-09-30,83.9858
2005-08-31,83.3198
2005-07-29,84.1083
2005-06-30,81.0088
2005-05-31,80.8877
2005-04-29,78.3625
2005-03-31,79.8586
2005-02-28,81.3457
2005-01-31,79.6801
2004-12-31,81.5075
2004-11-30,79.1218
2004-10-29,75.7502
2004-09-30,74.7866
2004-08-31,74.0448
2004-07-30,73.8649
2004-06-30,76.3240
2004-05-28,74.9382
2004-04-30,73.6766
2004-03-31,75.0975
2004-02-27,76.1019
2004-01-30,75.0830
2003-12-31,73.6274
2003-11-28,70.0997
2003-10-31,69.3424
2003-09-30,65.8193
2003-08-29,66.5438
2003-07-31,65.1990
2003-06-30,64.0444
2003-05-30,63.3688
2003-04-30,60.0745
2003-03-31,55.3880
2003-02-28,55.2742
2003-01-31,56.0294
2002-12-31,57.4422
2002-11-29,60.8908
2002-10-31,57.3532
2002-09-30,52.9928
2002-08-30,59.2000
2002-07-31,58.8001
2002-06-28,63.8313
2002-05-31,68.9139
2002-04-30,69.3252
2002-03-28,73.6058
2002-02-28,71.2377
2002-01-31,72.5387
2001-12-31,73.2566
2001-11-30,72.8474
2001-10-31,67.5779
2001-09-28,66.7092
2001-08-31,72.6358
2001-07-31,77.2173
2001-06-29,78.0127
2001-05-31,79.9171
2001-04-30,80.3676
2001-03-30,74.0415
2001-02-28,78.4329
2001-01-31,86.7034
2000-12-29,83.0127
2000-11-30,83.4427
2000-10-31,90.1745
2000-09-29,90.5983
2000-08-31,95.8516
2000-07-31,89.9728
2000-06-30,91.4081
2000-05-31,89.6418
2000-04-28,91.0736
2000-03-31,94.3886
2000-02-29,86.0508
2000-01-31,87.3812
1999-12-31,91.9597
